turn_id,pause_index,p_eot
en__000,0,0.1774
en__000,1,0.2834
en__000,2,0.4678
en__000,3,0.5039
en__001,0,0.2272
en__001,1,0.4191
en__002,0,0.4662
en__002,1,0.2775
en__002,2,0.7400
en__002,3,0.7031
en__002,4,0.6426
en__002,5,0.7892
en__002,6,0.6956
en__003,0,0.4020
en__004,0,0.3386
en__004,1,0.6165
en__005,0,0.1727
en__005,1,0.7212
en__006,0,0.3575
en__006,1,0.5301
en__006,2,0.6241
en__007,0,0.4194
en__007,1,0.3335
en__007,2,0.2623
en__007,3,0.5461
en__007,4,0.6737
en__007,5,0.0790
en__007,6,0.5537
en__008,0,0.3013
en__008,1,0.4806
en__008,2,0.5322
en__008,3,0.7125
en__009,0,0.3319
en__010,0,0.4128
en__010,1,0.4065
en__011,0,0.4463
en__012,0,0.0721
en__012,1,0.2846
en__012,2,0.3872
en__013,0,0.3333
en__014,0,0.5601
en__014,1,0.6449
en__015,0,0.4154
en__015,1,0.5878
en__016,0,0.2085
en__016,1,0.4961
en__016,2,0.6148
en__017,0,0.6872
en__017,1,0.7475
en__018,0,0.5864
en__018,1,0.4942
en__018,2,0.2692
en__018,3,0.0000
en__018,4,0.5017
en__018,5,0.6730
en__019,0,0.4573
en__020,0,0.4155
en__020,1,0.5814
en__020,2,0.6309
en__021,0,0.6273
en__022,0,0.6631
en__022,1,0.5077
en__023,0,0.2267
en__023,1,0.3639
en__023,2,0.5705
en__024,0,0.1952
en__024,1,0.1926
en__024,2,0.6381
en__025,0,0.4886
en__026,0,0.5183
en__027,0,0.6859
en__027,1,0.6148
en__028,0,0.2311
en__028,1,0.4966
en__029,0,0.4377
en__029,1,0.3889
en__029,2,0.5746
en__030,0,0.5421
en__030,1,0.4931
en__030,2,0.6805
en__030,3,0.7365
en__030,4,0.7551
en__031,0,0.6082
en__032,0,0.3384
en__032,1,0.5809
en__033,0,0.4434
en__034,0,0.5265
en__034,1,0.7612
en__035,0,0.4844
en__035,1,0.5966
en__035,2,0.6438
en__036,0,0.5169
en__036,1,0.2471
en__036,2,0.3913
en__037,0,0.4471
en__037,1,0.5954
en__037,2,0.4587
en__037,3,0.7156
en__038,0,0.4337
en__038,1,0.2431
en__038,2,0.4789
en__038,3,0.5858
en__039,0,0.3710
en__039,1,0.1956
en__039,2,0.1027
en__040,0,0.4017
en__041,0,0.7590
en__042,0,0.3051
en__042,1,0.3094
en__042,2,0.6075
en__042,3,0.4967
en__042,4,0.6109
en__043,0,0.7188
en__044,0,0.2403
en__044,1,0.5924
en__044,2,0.7340
en__045,0,0.3108
en__045,1,0.2962
en__046,0,0.2835
en__046,1,0.5133
en__046,2,0.6410
en__047,0,0.5125
en__048,0,0.4236
en__048,1,0.5258
en__049,0,0.2386
en__049,1,0.2830
en__049,2,0.3239
en__049,3,0.6157
en__049,4,0.7059
en__050,0,0.3868
en__051,0,0.5934
en__051,1,0.5276
en__051,2,0.4305
en__052,0,0.2975
en__052,1,0.4821
en__052,2,0.5421
en__053,0,0.5057
en__053,1,0.5326
en__054,0,0.4993
en__054,1,0.5261
en__055,0,0.6220
en__056,0,0.5666
en__057,0,0.6609
en__058,0,0.5684
en__059,0,0.3054
en__059,1,0.5223
en__059,2,0.6287
en__060,0,0.5522
en__060,1,0.4358
en__061,0,0.6583
en__061,1,0.6817
en__061,2,0.7321
en__062,0,0.7260
en__063,0,0.6173
en__063,1,0.6632
en__064,0,0.3604
en__064,1,0.6568
en__065,0,0.3905
en__065,1,0.3469
en__065,2,0.4466
en__066,0,0.5497
en__066,1,0.5067
en__067,0,0.4878
en__067,1,0.6013
en__067,2,0.5896
en__068,0,0.3050
en__068,1,0.3364
en__068,2,0.4149
en__069,0,0.3529
en__069,1,0.6007
en__070,0,0.3212
en__070,1,0.3707
en__070,2,0.5204
en__070,3,0.5341
en__070,4,0.2310
en__070,5,0.6079
en__070,6,0.7854
en__071,0,0.5650
en__072,0,0.5102
en__073,0,0.4326
en__073,1,0.6454
en__074,0,0.4985
en__075,0,0.5267
en__076,0,0.7525
en__077,0,0.2925
en__077,1,0.4929
en__077,2,0.4416
en__078,0,0.1785
en__079,0,0.4137
en__079,1,0.3466
en__080,0,0.2574
en__080,1,0.5078
en__080,2,0.4848
en__080,3,0.2359
en__080,4,0.6424
en__080,5,0.8109
en__081,0,0.2111
en__081,1,0.3444
en__081,2,0.5195
en__081,3,0.4940
en__081,4,0.7744
en__082,0,0.3776
en__082,1,0.6569
en__083,0,0.5795
en__083,1,0.5636
en__083,2,0.6641
en__084,0,0.6563
en__085,0,0.6130
en__086,0,0.5136
en__086,1,0.1532
en__086,2,0.3883
en__087,0,0.2334
en__088,0,0.5936
en__088,1,0.6260
en__089,0,0.2329
en__089,1,0.3463
en__090,0,0.4672
en__090,1,0.4617
en__090,2,0.6905
en__090,3,0.8353
en__091,0,0.0230
en__091,1,0.6091
en__091,2,0.5037
en__091,3,0.6963
en__091,4,0.6759
en__091,5,0.8389
en__091,6,0.9012
en__091,7,0.8945
en__092,0,0.6118
en__092,1,0.6302
en__093,0,0.4198
en__093,1,0.4920
en__093,2,0.3707
en__093,3,0.3223
en__093,4,0.4227
en__094,0,0.5430
en__094,1,0.6880
en__095,0,0.2023
en__095,1,0.3814
en__095,2,0.4171
en__095,3,0.3892
en__095,4,0.2912
en__095,5,0.6055
en__096,0,0.5208
en__097,0,0.2004
en__097,1,0.5011
en__098,0,0.5751
en__099,0,0.4421
