turn_id,pause_index,p_eot
hi__000,0,0.1587
hi__000,1,0.4867
hi__000,2,0.5722
hi__001,0,0.2815
hi__001,1,0.4145
hi__002,0,0.1334
hi__003,0,0.3689
hi__004,0,0.2964
hi__005,0,0.2553
hi__005,1,0.5214
hi__006,0,0.0541
hi__006,1,0.8057
hi__006,2,0.5628
hi__007,0,0.2033
hi__007,1,0.5623
hi__007,2,0.5731
hi__007,3,0.8293
hi__007,4,0.8762
hi__007,5,0.5770
hi__008,0,0.3976
hi__009,0,0.7711
hi__010,0,0.2855
hi__010,1,0.2005
hi__010,2,0.2592
hi__010,3,0.7621
hi__011,0,0.4183
hi__011,1,0.3909
hi__011,2,0.6415
hi__012,0,0.2606
hi__012,1,0.3642
hi__012,2,0.4149
hi__012,3,0.8513
hi__012,4,0.6040
hi__012,5,0.5666
hi__013,0,0.5285
hi__014,0,0.3517
hi__014,1,0.2706
hi__014,2,0.7109
hi__014,3,0.2925
hi__014,4,0.5811
hi__014,5,0.3154
hi__015,0,0.6256
hi__016,0,0.4790
hi__017,0,0.3573
hi__017,1,0.6019
hi__018,0,0.1996
hi__018,1,0.2643
hi__018,2,0.6076
hi__019,0,0.3225
hi__019,1,0.2705
hi__019,2,0.5323
hi__019,3,0.7709
hi__019,4,0.5543
hi__020,0,0.5708
hi__020,1,0.7136
hi__021,0,0.7157
hi__022,0,0.1302
hi__022,1,0.1048
hi__022,2,0.5274
hi__022,3,0.6184
hi__022,4,0.5405
hi__022,5,0.3096
hi__022,6,0.6614
hi__022,7,0.6062
hi__023,0,0.6861
hi__024,0,0.7985
hi__025,0,0.0914
hi__025,1,0.3306
hi__025,2,0.6310
hi__026,0,0.5229
hi__027,0,0.1242
hi__027,1,0.6073
hi__028,0,0.2885
hi__028,1,0.4701
hi__029,0,0.2007
hi__029,1,0.1668
hi__029,2,0.5413
hi__029,3,0.7472
hi__030,0,0.7037
hi__031,0,0.0832
hi__031,1,0.4290
hi__032,0,0.1023
hi__032,1,0.5843
hi__033,0,0.5770
hi__033,1,0.5133
hi__033,2,0.1620
hi__034,0,0.3684
hi__034,1,0.5500
hi__034,2,0.6788
hi__035,0,0.9266
hi__036,0,0.6034
hi__036,1,0.5875
hi__036,2,0.7929
hi__036,3,0.3560
hi__036,4,0.7588
hi__036,5,0.7446
hi__036,6,0.9842
hi__037,0,0.1650
hi__037,1,0.1155
hi__037,2,0.9561
hi__038,0,0.2148
hi__038,1,0.1147
hi__038,2,0.5343
hi__038,3,0.7030
hi__039,0,0.5409
hi__040,0,0.3242
hi__040,1,0.2051
hi__040,2,0.3477
hi__041,0,0.5262
hi__041,1,0.4672
hi__042,0,0.4855
hi__042,1,0.7225
hi__043,0,0.5889
hi__043,1,0.4980
hi__044,0,0.4333
hi__044,1,0.4534
hi__045,0,0.1874
hi__045,1,0.6894
hi__046,0,0.3958
hi__046,1,0.1556
hi__046,2,0.4133
hi__047,0,0.2311
hi__048,0,0.3710
hi__049,0,0.7528
hi__050,0,0.5941
hi__051,0,0.4774
hi__051,1,0.4105
hi__051,2,0.5229
hi__052,0,0.5153
hi__053,0,0.3836
hi__053,1,0.4251
hi__053,2,0.5295
hi__054,0,0.7912
hi__054,1,0.9113
hi__055,0,0.1477
hi__055,1,0.5617
hi__056,0,0.7236
hi__057,0,0.1130
hi__057,1,0.7443
hi__058,0,0.2821
hi__058,1,0.6931
hi__059,0,0.2467
hi__059,1,0.1610
hi__059,2,0.6712
hi__060,0,0.9391
hi__060,1,0.3545
hi__061,0,0.3263
hi__061,1,0.6118
hi__062,0,0.5046
hi__063,0,0.0583
hi__063,1,0.3232
hi__063,2,0.2857
hi__063,3,0.8382
hi__064,0,0.3428
hi__064,1,0.3617
hi__064,2,0.2274
hi__064,3,0.9120
hi__064,4,0.3723
hi__065,0,0.5382
hi__066,0,0.3048
hi__066,1,0.4494
hi__066,2,0.7038
hi__067,0,0.4032
hi__068,0,0.6657
hi__069,0,0.0596
hi__069,1,0.3677
hi__069,2,0.1214
hi__069,3,0.5759
hi__069,4,0.2885
hi__069,5,0.7453
hi__070,0,0.2694
hi__070,1,0.7033
hi__071,0,0.3636
hi__071,1,0.3498
hi__071,2,0.4401
hi__072,0,0.2270
hi__072,1,0.7906
hi__073,0,0.2791
hi__073,1,0.3394
hi__073,2,0.4998
hi__073,3,0.6422
hi__073,4,0.1940
hi__073,5,0.8891
hi__074,0,0.6241
hi__074,1,0.5842
hi__075,0,0.3293
hi__075,1,0.9225
hi__076,0,0.7848
hi__077,0,0.5242
hi__077,1,0.2666
hi__077,2,0.7425
hi__078,0,0.5358
hi__078,1,0.1630
hi__078,2,0.8317
hi__078,3,0.4479
hi__079,0,0.2075
hi__079,1,0.2924
