turn_id,pause_index,p_eot
hi__000,0,0.3916
hi__000,1,0.4408
hi__000,2,0.4943
hi__001,0,0.4819
hi__001,1,0.5214
hi__002,0,0.2980
hi__003,0,0.5988
hi__004,0,0.3932
hi__005,0,0.5034
hi__005,1,0.4399
hi__006,0,0.4982
hi__006,1,0.6593
hi__006,2,0.6598
hi__007,0,0.4703
hi__007,1,0.6199
hi__007,2,0.5907
hi__007,3,0.6109
hi__007,4,0.5995
hi__007,5,0.5362
hi__008,0,0.4085
hi__009,0,0.6759
hi__010,0,0.5481
hi__010,1,0.5374
hi__010,2,0.4646
hi__010,3,0.5082
hi__011,0,0.5931
hi__011,1,0.5244
hi__011,2,0.5046
hi__012,0,0.5311
hi__012,1,0.4017
hi__012,2,0.5215
hi__012,3,0.6682
hi__012,4,0.3269
hi__012,5,0.3126
hi__013,0,0.5578
hi__014,0,0.4890
hi__014,1,0.5450
hi__014,2,0.5857
hi__014,3,0.4214
hi__014,4,0.4094
hi__014,5,0.2725
hi__015,0,0.4818
hi__016,0,0.6774
hi__017,0,0.5624
hi__017,1,0.6149
hi__018,0,0.5205
hi__018,1,0.3782
hi__018,2,0.5614
hi__019,0,0.3446
hi__019,1,0.4510
hi__019,2,0.2983
hi__019,3,0.4755
hi__019,4,0.4394
hi__020,0,0.6535
hi__020,1,0.6532
hi__021,0,0.4838
hi__022,0,0.4164
hi__022,1,0.3673
hi__022,2,0.3795
hi__022,3,0.4824
hi__022,4,0.5193
hi__022,5,0.3348
hi__022,6,0.3496
hi__022,7,0.2745
hi__023,0,0.5181
hi__024,0,0.6018
hi__025,0,0.3550
hi__025,1,0.5399
hi__025,2,0.6288
hi__026,0,0.3041
hi__027,0,0.4316
hi__027,1,0.5451
hi__028,0,0.5404
hi__028,1,0.6141
hi__029,0,0.5538
hi__029,1,0.3505
hi__029,2,0.3006
hi__029,3,0.5064
hi__030,0,0.6267
hi__031,0,0.3281
hi__031,1,0.5386
hi__032,0,0.3470
hi__032,1,0.6223
hi__033,0,0.5519
hi__033,1,0.4469
hi__033,2,0.3437
hi__034,0,0.5954
hi__034,1,0.5697
hi__034,2,0.6576
hi__035,0,0.5895
hi__036,0,0.4351
hi__036,1,0.6424
hi__036,2,0.6635
hi__036,3,0.2865
hi__036,4,0.5783
hi__036,5,0.3718
hi__036,6,0.6698
hi__037,0,0.4370
hi__037,1,0.3383
hi__037,2,0.5185
hi__038,0,0.4549
hi__038,1,0.4061
hi__038,2,0.6217
hi__038,3,0.5707
hi__039,0,0.5829
hi__040,0,0.4951
hi__040,1,0.4665
hi__040,2,0.5081
hi__041,0,0.6606
hi__041,1,0.3721
hi__042,0,0.5912
hi__042,1,0.6714
hi__043,0,0.5672
hi__043,1,0.6251
hi__044,0,0.5448
hi__044,1,0.5319
hi__045,0,0.3420
hi__045,1,0.3110
hi__046,0,0.5841
hi__046,1,0.4206
hi__046,2,0.6111
hi__047,0,0.3823
hi__048,0,0.4327
hi__049,0,0.5443
hi__050,0,0.6484
hi__051,0,0.5638
hi__051,1,0.3247
hi__051,2,0.4072
hi__052,0,0.4057
hi__053,0,0.4530
hi__053,1,0.4235
hi__053,2,0.4920
hi__054,0,0.4224
hi__054,1,0.5554
hi__055,0,0.4522
hi__055,1,0.5594
hi__056,0,0.6555
hi__057,0,0.5067
hi__057,1,0.6263
hi__058,0,0.3931
hi__058,1,0.6206
hi__059,0,0.4043
hi__059,1,0.3186
hi__059,2,0.5711
hi__060,0,0.6156
hi__060,1,0.4006
hi__061,0,0.4146
hi__061,1,0.5181
hi__062,0,0.4937
hi__063,0,0.4903
hi__063,1,0.6760
hi__063,2,0.4027
hi__063,3,0.5282
hi__064,0,0.6067
hi__064,1,0.5817
hi__064,2,0.3898
hi__064,3,0.5608
hi__064,4,0.2786
hi__065,0,0.5640
hi__066,0,0.5570
hi__066,1,0.4962
hi__066,2,0.6388
hi__067,0,0.5363
hi__068,0,0.5259
hi__069,0,0.2939
hi__069,1,0.5174
hi__069,2,0.3344
hi__069,3,0.2802
hi__069,4,0.3745
hi__069,5,0.5801
hi__070,0,0.4186
hi__070,1,0.5710
hi__071,0,0.6007
hi__071,1,0.4578
hi__071,2,0.3731
hi__072,0,0.5043
hi__072,1,0.5991
hi__073,0,0.4989
